Customer ID,Age,Gender,Item Purchased,Category,Purchase Amount (USD),Location,Size,Color,Season,Review Rating,Subscription Status,Shipping Type,Discount Applied,Promo Code Used,Previous Purchases,Payment Method,Frequency of Purchases,Discount Used Binary,Promo Dependency,Frequency Score,Purchase Amount Normalized,Previous Purchases Normalized,Frequency Normalized,Customer Value Score,Satisfaction Score,Subscription Status Binary,Behavioral Loyalty Score,Attitudinal Loyalty Score,Loyalty Score,Value Tier,Satisfaction Flag
1,55,Male,Blouse,Clothing,53,Kentucky,L,Gray,Winter,3.1,Yes,Express,Yes,Yes,14,Venmo,Fortnightly,1,0.06666666666666667,4,0.4125000000000001,0.26530612244897955,0.6000000000000001,0.4620918367346939,0.62,1,0.43128571428571433,0.72,0.43128571428571433,Low,0
2,19,Male,Sweater,Clothing,64,Maine,L,Maroon,Winter,3.1,Yes,Express,Yes,Yes,2,Cash,Fortnightly,1,0.3333333333333333,4,0.55,0.02040816326530612,0.6000000000000001,0.4161224489795919,0.62,1,0.27741496598639465,0.72,0.27741496598639465,Low,0
3,50,Male,Jeans,Clothing,73,Massachusetts,S,Maroon,Spring,3.1,Yes,Free Shipping,Yes,Yes,23,Credit Card,Weekly,1,0.041666666666666664,5,0.6625000000000001,0.44897959183673464,0.8,0.6671938775510204,0.62,1,0.6393941326530613,0.72,0.6393941326530613,Medium,0
4,21,Male,Sandals,Footwear,90,Rhode Island,M,Maroon,Spring,3.5,Yes,Next Day Air,Yes,Yes,49,PayPal,Weekly,1,0.02,5,0.875,0.9795918367346937,0.8,0.8688775510204082,0.7,1,0.8515,0.7999999999999999,0.8515,High,0
5,45,Male,Blouse,Clothing,49,Oregon,M,Turquoise,Spring,2.7,Yes,Free Shipping,Yes,Yes,31,PayPal,Annually,1,0.03125,1,0.36250000000000004,0.6122448979591836,0.0,0.2561734693877551,0.54,1,0.24816804846938775,0.64,0.24816804846938775,Low,0
6,46,Male,Sneakers,Footwear,20,Wyoming,M,White,Summer,2.9,Yes,Standard,Yes,Yes,14,Venmo,Weekly,1,0.06666666666666667,5,0.0,0.26530612244897955,0.8,0.47959183673469385,0.58,1,0.4476190476190476,0.6799999999999999,0.4476190476190476,Low,0
7,63,Male,Shirt,Clothing,85,Montana,M,Gray,Fall,3.2,Yes,Free Shipping,Yes,Yes,49,Cash,Quarterly,1,0.02,2,0.8125,0.9795918367346937,0.2,0.5563775510204081,0.64,1,0.5452499999999999,0.74,0.5452499999999999,Medium,0
8,27,Male,Shorts,Clothing,34,Louisiana,L,Charcoal,Winter,3.2,Yes,Free Shipping,Yes,Yes,19,Credit Card,Weekly,1,0.05,5,0.17500000000000004,0.36734693877551017,0.8,0.5452040816326531,0.64,1,0.5179438775510204,0.74,0.5179438775510204,Medium,0
9,26,Male,Coat,Outerwear,97,West Virginia,L,Silver,Summer,2.6,Yes,Express,Yes,Yes,8,Venmo,Annually,1,0.1111111111111111,1,0.9625000000000001,0.14285714285714285,0.0,0.23535714285714288,0.52,1,0.2092063492063492,0.62,0.2092063492063492,Low,0
10,57,Male,Handbag,Accessories,31,Missouri,M,Pink,Spring,4.8,Yes,2-Day Shipping,Yes,Yes,4,Cash,Quarterly,1,0.2,2,0.1375,0.061224489795918366,0.2,0.1458673469387755,0.96,1,0.11669387755102041,1.06,0.11669387755102041,Low,1
11,53,Male,Shoes,Footwear,34,Arkansas,L,Purple,Fall,4.1,Yes,Store Pickup,Yes,Yes,26,Bank Transfer,Bi-Weekly,1,0.037037037037037035,6,0.17500000000000004,0.510204081632653,1.0000000000000002,0.688061224489796,0.82,1,0.6625774754346184,0.9199999999999999,0.6625774754346184,Medium,1
12,30,Male,Shorts,Clothing,68,Hawaii,S,Olive,Winter,4.9,Yes,Store Pickup,Yes,Yes,10,Bank Transfer,Fortnightly,1,0.09090909090909091,4,0.6000000000000001,0.18367346938775508,0.6000000000000001,0.47510204081632657,0.9800000000000001,1,0.4319109461966605,1.08,0.4319109461966605,Low,1
13,61,Male,Coat,Outerwear,72,Delaware,M,Gold,Winter,4.5,Yes,Express,Yes,Yes,37,Venmo,Fortnightly,1,0.02631578947368421,4,0.65,0.7346938775510203,0.6000000000000001,0.6504081632653061,0.9,1,0.6332921589688507,1.0,0.6332921589688507,Medium,1
14,65,Male,Dress,Clothing,51,New Hampshire,M,Violet,Spring,4.7,Yes,Express,Yes,Yes,31,PayPal,Weekly,1,0.03125,5,0.38750000000000007,0.6122448979591836,0.8,0.6611734693877551,0.9400000000000001,1,0.6405117984693878,1.04,0.6405117984693878,Medium,1
15,64,Male,Coat,Outerwear,53,New York,L,Teal,Winter,4.7,Yes,Free Shipping,Yes,Yes,34,Debit Card,Weekly,1,0.02857142857142857,5,0.4125000000000001,0.673469387755102,0.8,0.6845408163265306,0.9400000000000001,1,0.6649825072886297,1.04,0.6649825072886297,Medium,1
16,64,Male,Skirt,Clothing,81,Rhode Island,M,Teal,Winter,2.8,Yes,Store Pickup,Yes,Yes,8,PayPal,Monthly,1,0.1111111111111111,3,0.7625,0.14285714285714285,0.4000000000000001,0.39535714285714285,0.5599999999999999,1,0.3514285714285714,0.6599999999999999,0.3514285714285714,Low,0
17,25,Male,Sunglasses,Accessories,36,Alabama,S,Gray,Spring,4.1,Yes,Next Day Air,Yes,Yes,44,Debit Card,Bi-Weekly,1,0.022222222222222223,6,0.2,0.8775510204081631,1.0000000000000002,0.8032653061224491,0.82,1,0.7854149659863946,0.9199999999999999,0.7854149659863946,High,1
18,53,Male,Dress,Clothing,38,Mississippi,XL,Lavender,Winter,4.7,Yes,2-Day Shipping,Yes,Yes,36,Venmo,Quarterly,1,0.02702702702702703,2,0.22500000000000003,0.7142857142857142,0.2,0.3592857142857142,0.9400000000000001,1,0.3495752895752895,1.04,0.3495752895752895,Low,1
19,52,Male,Sweater,Clothing,48,Montana,S,Black,Summer,4.6,Yes,Free Shipping,Yes,Yes,17,Cash,Weekly,1,0.05555555555555555,5,0.3500000000000001,0.32653061224489793,0.8,0.5679591836734694,0.9199999999999999,1,0.53640589569161,1.02,0.53640589569161,Medium,1
20,66,Male,Pants,Clothing,90,Rhode Island,M,Green,Summer,3.3,Yes,Standard,Yes,Yes,46,Debit Card,Bi-Weekly,1,0.02127659574468085,6,0.875,0.9183673469387754,1.0000000000000002,0.9505102040816328,0.6599999999999999,1,0.9302865827181938,0.7599999999999999,0.9302865827181938,High,0
21,21,Male,Pants,Clothing,51,Louisiana,M,Black,Winter,2.8,Yes,Express,Yes,Yes,50,Cash,Every 3 Months,1,0.0196078431372549,2,0.38750000000000007,1.0,0.2,0.47750000000000004,0.5599999999999999,1,0.4681372549019608,0.6599999999999999,0.4681372549019608,Low,0
22,31,Male,Pants,Clothing,62,North Carolina,M,Charcoal,Winter,4.1,Yes,Store Pickup,Yes,Yes,22,Debit Card,Quarterly,1,0.043478260869565216,2,0.525,0.4285714285714285,0.2,0.3335714285714285,0.82,1,0.3190683229813664,0.9199999999999999,0.3190683229813664,Low,1
23,56,Male,Pants,Clothing,37,California,M,Peach,Summer,3.2,Yes,Store Pickup,Yes,Yes,32,Debit Card,Annually,1,0.030303030303030304,1,0.21250000000000002,0.6326530612244897,0.0,0.23229591836734692,0.64,1,0.22525664811379095,0.74,0.22525664811379095,Low,0
24,31,Male,Pants,Clothing,88,Oklahoma,XL,White,Winter,4.4,Yes,Express,Yes,Yes,40,Credit Card,Weekly,1,0.024390243902439025,5,0.8500000000000001,0.7959183673469387,0.8,0.8087755102040817,0.8800000000000001,1,0.7890492782478845,0.9800000000000001,0.7890492782478845,High,1
25,18,Male,Jacket,Outerwear,22,Florida,M,Green,Fall,2.9,Yes,Store Pickup,Yes,Yes,16,Debit Card,Weekly,1,0.058823529411764705,5,0.025000000000000022,0.3061224489795918,0.8,0.49683673469387757,0.58,1,0.46761104441776713,0.6799999999999999,0.46761104441776713,Low,0
26,18,Male,Hoodie,Clothing,25,Texas,M,Silver,Summer,3.6,Yes,Express,Yes,Yes,14,PayPal,Annually,1,0.06666666666666667,1,0.0625,0.26530612244897955,0.0,0.09209183673469386,0.72,1,0.08595238095238093,0.82,0.08595238095238093,Low,0
27,38,Male,Jewelry,Accessories,20,Nevada,M,Red,Spring,3.6,Yes,Next Day Air,Yes,Yes,13,Credit Card,Annually,1,0.07142857142857142,1,0.0,0.24489795918367344,0.0,0.07346938775510203,0.72,1,0.06822157434402332,0.82,0.06822157434402332,Low,0
28,56,Male,Shorts,Clothing,56,Kentucky,L,Cyan,Summer,5.0,Yes,Next Day Air,Yes,Yes,7,Bank Transfer,Every 3 Months,1,0.125,2,0.45000000000000007,0.12244897959183673,0.2,0.22673469387755105,1.0,1,0.19839285714285718,1.1,0.19839285714285718,Low,1
29,54,Male,Handbag,Accessories,94,North Carolina,M,Gray,Fall,4.4,Yes,Free Shipping,Yes,Yes,41,PayPal,Every 3 Months,1,0.023809523809523808,2,0.925,0.8163265306122448,0.2,0.5298979591836734,0.8800000000000001,1,0.5172813411078717,0.9800000000000001,0.5172813411078717,Medium,1
30,31,Male,Dress,Clothing,48,Wyoming,S,Black,Fall,4.1,Yes,Store Pickup,Yes,Yes,14,Credit Card,Weekly,1,0.06666666666666667,5,0.3500000000000001,0.26530612244897955,0.8,0.5495918367346939,0.82,1,0.512952380952381,0.9199999999999999,0.512952380952381,Medium,1
31,57,Male,Jewelry,Accessories,31,North Carolina,L,Black,Winter,4.7,Yes,Standard,Yes,Yes,16,Credit Card,Monthly,1,0.058823529411764705,3,0.1375,0.3061224489795918,0.4000000000000001,0.3193367346938776,0.9400000000000001,1,0.30055222088835537,1.04,0.30055222088835537,Low,1
